time_s,vehicle_id,soc_wh,max_cap_wh,consumption_wh,charging_flag,soc_pct
35.0,ev_3,17442.14,35000.0,0.0,NULL,49.83
35.0,ev_4,17451.76,35000.0,0.0,NULL,49.86
35.0,ev_5,17470.32,35000.0,0.0,NULL,49.92
35.0,ev_6,17481.13,35000.0,0.0,NULL,49.95
35.0,ev_7,17500.0,35000.0,0.0,NULL,50.0
36.0,ev_0,17427.27,35000.0,0.0,NULL,49.79
36.0,ev_1,17478.29,35000.0,0.0,NULL,49.94
36.0,ev_2,17438.58,35000.0,0.0,NULL,49.82
36.0,ev_3,17443.75,35000.0,0.0,NULL,49.84
36.0,ev_4,17446.16,35000.0,0.0,NULL,49.85
36.0,ev_5,17464.94,35000.0,0.0,NULL,49.9
36.0,ev_6,17471.36,35000.0,0.0,NULL,49.92
36.0,ev_7,17498.39,35000.0,0.0,NULL,50.0
37.0,ev_0,17424.51,35000.0,0.0,NULL,49.78
37.0,ev_1,17478.26,35000.0,0.0,NULL,49.94
37.0,ev_2,17439.78,35000.0,0.0,NULL,49.83
37.0,ev_3,17442.82,35000.0,0.0,NULL,49.84
37.0,ev_4,17450.52,35000.0,0.0,NULL,49.86
37.0,ev_5,17468.27,35000.0,0.0,NULL,49.91
37.0,ev_6,17461.45,35000.0,0.0,NULL,49.89
37.0,ev_7,17494.61,35000.0,0.0,NULL,49.98
38.0,ev_0,17424.04,35000.0,0.0,NULL,49.78
38.0,ev_1,17478.23,35000.0,0.0,NULL,49.94
38.0,ev_2,17433.68,35000.0,0.0,NULL,49.81
38.0,ev_3,17441.2,35000.0,0.0,NULL,49.83
38.0,ev_4,17448.71,35000.0,0.0,NULL,49.85
38.0,ev_5,17466.31,35000.0,0.0,NULL,49.9
38.0,ev_6,17456.93,35000.0,0.0,NULL,49.88
38.0,ev_7,17490.13,35000.0,0.0,NULL,49.97
39.0,ev_0,17426.99,35000.0,0.0,NULL,49.79
39.0,ev_1,17478.21,35000.0,0.0,NULL,49.94
39.0,ev_2,17437.22,35000.0,0.0,NULL,49.82
39.0,ev_3,17441.03,35000.0,0.0,NULL,49.83
39.0,ev_4,17445.68,35000.0,0.0,NULL,49.84
39.0,ev_5,17465.54,35000.0,0.0,NULL,49.9
39.0,ev_6,17455.5,35000.0,0.0,NULL,49.87
39.0,ev_7,17484.07,35000.0,0.0,NULL,49.95
40.0,ev_0,17423.26,35000.0,0.0,NULL,49.78
40.0,ev_1,17478.18,35000.0,0.0,NULL,49.94
40.0,ev_2,17437.15,35000.0,0.0,NULL,49.82
40.0,ev_3,17442.41,35000.0,0.0,NULL,49.84
40.0,ev_4,17447.58,35000.0,0.0,NULL,49.85
40.0,ev_5,17465.56,35000.0,0.0,NULL,49.9
40.0,ev_6,17455.69,35000.0,0.0,NULL,49.87
40.0,ev_7,17476.7,35000.0,0.0,NULL,49.93
41.0,ev_0,17422.42,35000.0,0.0,NULL,49.78
41.0,ev_1,17478.15,35000.0,0.0,NULL,49.94
41.0,ev_2,17436.36,35000.0,0.0,NULL,49.82
41.0,ev_3,17442.54,35000.0,0.0,NULL,49.84
41.0,ev_4,17444.68,35000.0,0.0,NULL,49.84
41.0,ev_5,17462.97,35000.0,0.0,NULL,49.89
41.0,ev_6,17455.01,35000.0,0.0,NULL,49.87
41.0,ev_7,17470.75,35000.0,0.0,NULL,49.92
42.0,ev_0,17421.88,35000.0,0.0,NULL,49.78
42.0,ev_1,17478.12,35000.0,0.0,NULL,49.94
42.0,ev_2,17432.29,35000.0,0.0,NULL,49.81
42.0,ev_3,17440.52,35000.0,0.0,NULL,49.83
42.0,ev_4,17447.18,35000.0,0.0,NULL,49.85
42.0,ev_5,17460.91,35000.0,0.0,NULL,49.89
42.0,ev_6,17453.73,35000.0,0.0,NULL,49.87
42.0,ev_7,17465.74,35000.0,0.0,NULL,49.9
43.0,ev_0,17422.48,35000.0,0.0,NULL,49.78
43.0,ev_1,17478.1,35000.0,0.0,NULL,49.94
43.0,ev_2,17430.68,35000.0,0.0,NULL,49.8
43.0,ev_3,17437.0,35000.0,0.0,NULL,49.82
43.0,ev_4,17445.75,35000.0,0.0,NULL,49.84
43.0,ev_5,17465.07,35000.0,0.0,NULL,49.9
43.0,ev_6,17455.98,35000.0,0.0,NULL,49.87
43.0,ev_7,17468.02,35000.0,0.0,NULL,49.91
44.0,ev_0,17422.59,35000.0,0.0,NULL,49.78
44.0,ev_1,17478.07,35000.0,0.0,NULL,49.94
44.0,ev_2,17428.42,35000.0,0.0,NULL,49.8
44.0,ev_3,17439.05,35000.0,0.0,NULL,49.83
44.0,ev_4,17443.96,35000.0,0.0,NULL,49.84
44.0,ev_5,17460.98,35000.0,0.0,NULL,49.89
44.0,ev_6,17455.53,35000.0,0.0,NULL,49.87
44.0,ev_7,17462.53,35000.0,0.0,NULL,49.89
45.0,ev_0,17420.63,35000.0,0.0,NULL,49.77
45.0,ev_1,17478.04,35000.0,0.0,NULL,49.94
45.0,ev_2,17428.96,35000.0,0.0,NULL,49.8
45.0,ev_3,17435.35,35000.0,0.0,NULL,49.82
45.0,ev_4,17440.42,35000.0,0.0,NULL,49.83
45.0,ev_5,17462.46,35000.0,0.0,NULL,49.89
45.0,ev_6,17451.55,35000.0,0.0,NULL,49.86
45.0,ev_7,17465.62,35000.0,0.0,NULL,49.9
46.0,ev_0,17418.67,35000.0,0.0,NULL,49.77
46.0,ev_1,17478.01,35000.0,0.0,NULL,49.94
46.0,ev_2,17427.95,35000.0,0.0,NULL,49.79
46.0,ev_3,17432.62,35000.0,0.0,NULL,49.81
46.0,ev_4,17439.86,35000.0,0.0,NULL,49.83
46.0,ev_5,17457.72,35000.0,0.0,NULL,49.88
46.0,ev_6,17453.62,35000.0,0.0,NULL,49.87
46.0,ev_7,17463.37,35000.0,0.0,NULL,49.9
47.0,ev_0,17420.65,35000.0,0.0,NULL,49.77
47.0,ev_1,17477.98,35000.0,0.0,NULL,49.94
47.0,ev_2,17427.89,35000.0,0.0,NULL,49.79
47.0,ev_3,17436.73,35000.0,0.0,NULL,49.82
47.0,ev_4,17438.1,35000.0,0.0,NULL,49.82
47.0,ev_5,17459.86,35000.0,0.0,NULL,49.89
47.0,ev_6,17449.46,35000.0,0.0,NULL,49.86
47.0,ev_7,17464.68,35000.0,0.0,NULL,49.9
48.0,ev_0,17416.64,35000.0,0.0,NULL,49.76
48.0,ev_1,17477.96,35000.0,0.0,NULL,49.94
48.0,ev_2,17428.47,35000.0,0.0,NULL,49.8
48.0,ev_3,17435.77,35000.0,0.0,NULL,49.82
48.0,ev_4,17437.84,35000.0,0.0,NULL,49.82
48.0,ev_5,17457.87,35000.0,0.0,NULL,49.88
48.0,ev_6,17447.17,35000.0,0.0,NULL,49.85
48.0,ev_7,17460.68,35000.0,0.0,NULL,49.89
49.0,ev_0,17413.14,35000.0,0.0,NULL,49.75
49.0,ev_1,17477.93,35000.0,0.0,NULL,49.94
49.0,ev_2,17430.1,35000.0,0.0,NULL,49.8
49.0,ev_3,17434.43,35000.0,0.0,NULL,49.81
49.0,ev_4,17439.99,35000.0,0.0,NULL,49.83
49.0,ev_5,17459.14,35000.0,0.0,NULL,49.88
49.0,ev_6,17448.72,35000.0,0.0,NULL,49.85
49.0,ev_7,17463.31,35000.0,0.0,NULL,49.9
50.0,ev_0,17415.93,35000.0,0.0,NULL,49.76
50.0,ev_1,17477.9,35000.0,0.0,NULL,49.94
50.0,ev_2,17426.2,35000.0,0.0,NULL,49.79
50.0,ev_3,17429.85,35000.0,0.0,NULL,49.8
50.0,ev_4,17434.63,35000.0,0.0,NULL,49.81
50.0,ev_5,17460.27,35000.0,0.0,NULL,49.89
50.0,ev_6,17443.06,35000.0,0.0,NULL,49.84
50.0,ev_7,17460.22,35000.0,0.0,NULL,49.89
51.0,ev_0,17416.75,35000.0,0.0,NULL,49.76
51.0,ev_1,17477.87,35000.0,0.0,NULL,49.94
51.0,ev_2,17427.47,35000.0,0.0,NULL,49.79
51.0,ev_3,17427.85,35000.0,0.0,NULL,49.79
51.0,ev_4,17435.09,35000.0,0.0,NULL,49.81
51.0,ev_5,17458.95,35000.0,0.0,NULL,49.88
51.0,ev_6,17444.52,35000.0,0.0,NULL,49.84
51.0,ev_7,17460.87,35000.0,0.0,NULL,49.89
52.0,ev_0,17413.67,35000.0,0.0,NULL,49.75
52.0,ev_1,17477.85,35000.0,0.0,NULL,49.94
52.0,ev_2,17424.67,35000.0,0.0,NULL,49.78
52.0,ev_3,17427.51,35000.0,0.0,NULL,49.79
52.0,ev_4,17437.28,35000.0,0.0,NULL,49.82
52.0,ev_5,17458.69,35000.0,0.0,NULL,49.88
52.0,ev_6,17445.26,35000.0,0.0,NULL,49.84
52.0,ev_7,17457.86,35000.0,0.0,NULL,49.88
53.0,ev_0,17415.43,35000.0,0.0,NULL,49.76
53.0,ev_1,17477.82,35000.0,0.0,NULL,49.94
53.0,ev_2,17419.17,35000.0,0.0,NULL,49.77
53.0,ev_3,17429.81,35000.0,0.0,NULL,49.8
53.0,ev_4,17432.9,35000.0,0.0,NULL,49.81
53.0,ev_5,17455.01,35000.0,0.0,NULL,49.87
53.0,ev_6,17446.6,35000.0,0.0,NULL,49.85
53.0,ev_7,17458.29,35000.0,0.0,NULL,49.88
54.0,ev_0,17411.36,35000.0,0.0,NULL,49.75
54.0,ev_1,17477.79,35000.0,0.0,NULL,49.94
54.0,ev_2,17422.14,35000.0,0.0,NULL,49.78
54.0,ev_3,17428.17,35000.0,0.0,NULL,49.79
54.0,ev_4,17428.76,35000.0,0.0,NULL,49.8
54.0,ev_5,17455.23,35000.0,0.0,NULL,49.87
54.0,ev_6,17438.84,35000.0,0.0,NULL,49.83
54.0,ev_7,17459.37,35000.0,0.0,NULL,49.88
55.0,ev_0,17407.52,35000.0,0.0,NULL,49.74
55.0,ev_1,17477.76,35000.0,0.0,NULL,49.94
55.0,ev_2,17423.56,35000.0,0.0,NULL,49.78
55.0,ev_3,17424.66,35000.0,0.0,NULL,49.78
55.0,ev_4,17428.33,35000.0,0.0,NULL,49.8
55.0,ev_5,17452.59,35000.0,0.0,NULL,49.86
55.0,ev_6,17442.71,35000.0,0.0,NULL,49.84
55.0,ev_7,17456.71,35000.0,0.0,NULL,49.88
56.0,ev_0,17410.28,35000.0,0.0,NULL,49.74
56.0,ev_1,17477.73,35000.0,0.0,NULL,49.94
56.0,ev_2,17423.02,35000.0,0.0,NULL,49.78
56.0,ev_3,17423.94,35000.0,0.0,NULL,49.78
56.0,ev_4,17430.68,35000.0,0.0,NULL,49.8
56.0,ev_5,17450.53,35000.0,0.0,NULL,49.86
56.0,ev_6,17436.21,35000.0,0.0,NULL,49.82
56.0,ev_7,17452.98,35000.0,0.0,NULL,49.87
57.0,ev_0,17407.18,35000.0,0.0,NULL,49.73
57.0,ev_1,17477.71,35000.0,0.0,NULL,49.94
57.0,ev_2,17419.16,35000.0,0.0,NULL,49.77
57.0,ev_3,17426.72,35000.0,0.0,NULL,49.79
57.0,ev_4,17430.94,35000.0,0.0,NULL,49.8
57.0,ev_5,17451.49,35000.0,0.0,NULL,49.86
57.0,ev_6,17438.46,35000.0,0.0,NULL,49.82
57.0,ev_7,17456.11,35000.0,0.0,NULL,49.87
58.0,ev_0,17403.76,35000.0,0.0,NULL,49.73
58.0,ev_1,17477.68,35000.0,0.0,NULL,49.94
58.0,ev_2,17417.64,35000.0,0.0,NULL,49.76
58.0,ev_3,17421.37,35000.0,0.0,NULL,49.78
58.0,ev_4,17425.38,35000.0,0.0,NULL,49.79
58.0,ev_5,17453.56,35000.0,0.0,NULL,49.87
58.0,ev_6,17434.47,35000.0,0.0,NULL,49.81
58.0,ev_7,17452.14,35000.0,0.0,NULL,49.86
59.0,ev_0,17402.55,35000.0,0.0,NULL,49.72
59.0,ev_1,17477.65,35000.0,0.0,NULL,49.94
59.0,ev_2,17413.43,35000.0,0.0,NULL,49.75
59.0,ev_3,17423.6,35000.0,0.0,NULL,49.78
59.0,ev_4,17429.78,35000.0,0.0,NULL,49.8
59.0,ev_5,17449.07,35000.0,0.0,NULL,49.85
59.0,ev_6,17435.44,35000.0,0.0,NULL,49.82
59.0,ev_7,17456.0,35000.0,0.0,NULL,49.87
60.0,ev_0,17402.5,35000.0,0.0,NULL,49.72
60.0,ev_1,17477.62,35000.0,0.0,NULL,49.94
60.0,ev_2,17414.44,35000.0,0.0,NULL,49.76
60.0,ev_3,17424.9,35000.0,0.0,NULL,49.79
60.0,ev_4,17429.65,35000.0,0.0,NULL,49.8
60.0,ev_5,17453.08,35000.0,0.0,NULL,49.87
60.0,ev_6,17437.85,35000.0,0.0,NULL,49.82
60.0,ev_7,17450.15,35000.0,0.0,NULL,49.86
61.0,ev_0,17406.24,35000.0,0.0,NULL,49.73
61.0,ev_1,17477.6,35000.0,0.0,NULL,49.94
61.0,ev_2,17413.36,35000.0,0.0,NULL,49.75
61.0,ev_3,17416.79,35000.0,0.0,NULL,49.76
61.0,ev_4,17427.54,35000.0,0.0,NULL,49.79
61.0,ev_5,17446.61,35000.0,0.0,NULL,49.85
61.0,ev_6,17433.14,35000.0,0.0,NULL,49.81
61.0,ev_7,17449.04,35000.0,0.0,NULL,49.85
62.0,ev_0,17406.0,35000.0,0.0,NULL,49.73
62.0,ev_1,17477.57,35000.0,0.0,NULL,49.94
62.0,ev_2,17416.4,35000.0,0.0,NULL,49.76
62.0,ev_3,17417.37,35000.0,0.0,NULL,49.76
62.0,ev_4,17426.57,35000.0,0.0,NULL,49.79
62.0,ev_5,17449.86,35000.0,0.0,NULL,49.86
62.0,ev_6,17437.03,35000.0,0.0,NULL,49.82
62.0,ev_7,17448.79,35000.0,0.0,NULL,49.85
63.0,ev_0,17405.83,35000.0,0.0,NULL,49.73
63.0,ev_1,17477.54,35000.0,0.0,NULL,49.94
63.0,ev_2,17415.72,35000.0,0.0,NULL,49.76
63.0,ev_3,17416.37,35000.0,0.0,NULL,49.76
63.0,ev_4,17423.66,35000.0,0.0,NULL,49.78
63.0,ev_5,17446.97,35000.0,0.0,NULL,49.85
63.0,ev_6,17430.01,35000.0,0.0,NULL,49.8
63.0,ev_7,17447.55,35000.0,0.0,NULL,49.85
64.0,ev_0,17401.95,35000.0,0.0,NULL,49.72
64.0,ev_1,17477.51,35000.0,0.0,NULL,49.94
64.0,ev_2,17412.75,35000.0,0.0,NULL,49.75
64.0,ev_3,17415.64,35000.0,0.0,NULL,49.76
64.0,ev_4,17425.4,35000.0,0.0,NULL,49.79
64.0,ev_5,17444.95,35000.0,0.0,NULL,49.84
64.0,ev_6,17432.3,35000.0,0.0,NULL,49.81
64.0,ev_7,17448.02,35000.0,0.0,NULL,49.85
